Ia,Ib,Ic,Va,Vb,Vc,energy_phase_A_current,energy_phase_B_current,energy_phase_C_current,distance_phase_A_current,distance_phase_B_current,distance_phase_C_current,rms_phase_A_current,rms_phase_B_current,rms_phase_C_current,kurtosis_phase_A_current,kurtosis_phase_B_current,kurtosis_phase_C_current,skewness_phase_A_current,skewness_phase_B_current,skewness_phase_C_current,maxFrequency_phase_A_current,maxFrequency_phase_B_current,maxFrequency_phase_C_current,powerBandwidth_phase_A_current,powerBandwidth_phase_B_current,powerBandwidth_phase_C_current,auc_phase_A_current,auc_phase_B_current,auc_phase_C_current,pk_pk_distance_phase_A_current,pk_pk_distance_phase_B_current,pk_pk_distance_phase_C_current,slope_phase_A_current,slope_phase_B_current,slope_phase_C_current,shannon_entropy_phase_A_current,shannon_entropy_phase_B_current,shannon_entropy_phase_C_current,mean_phase_A_current,mean_phase_B_current,mean_phase_C_current,geometric_mean_phase_A_current,geometric_mean_phase_B_current,geometric_mean_phase_C_current,harmonic_mean_phase_A_current,harmonic_mean_phase_B_current,harmonic_mean_phase_C_current,variance_phase_A_current,variance_phase_B_current,variance_phase_C_current,stdev_phase_A_current,stdev_phase_B_current,stdev_phase_C_current,median_phase_A_current,median_phase_B_current,median_phase_C_current,covariance_phase_A_B_current,covariance_phase_A_C_current,covariance_phase_B_C_current,correlation_phase_A_B_current,correlation_phase_A_C_current,correlation_phase_B_C_current,max_phase_A_current,max_phase_B_current,max_phase_C_current,min_phase_A_current,min_phase_B_current,min_phase_C_current,energy_phase_A_voltage,energy_phase_B_voltage,energy_phase_C_voltage,distance_phase_A_voltage,distance_phase_B_voltage,distance_phase_C_voltage,rms_phase_A_voltage,rms_phase_B_voltage,rms_phase_C_voltage,kurtosis_phase_A_voltage,kurtosis_phase_B_voltage,kurtosis_phase_C_voltage,skewness_phase_A_voltage,skewness_phase_B_voltage,skewness_phase_C_voltage,maxFrequency_phase_A_voltage,maxFrequency_phase_B_voltage,maxFrequency_phase_C_voltage,powerBandwidth_phase_A_voltage,powerBandwidth_phase_B_voltage,powerBandwidth_phase_C_voltage,auc_phase_A_voltage,auc_phase_B_voltage,auc_phase_C_voltage,pk_pk_distance_phase_A_voltage,pk_pk_distance_phase_B_voltage,pk_pk_distance_phase_C_voltage,slope_phase_A_voltage,slope_phase_B_voltage,slope_phase_C_voltage,shannon_entropy_phase_A_voltage,shannon_entropy_phase_B_voltage,shannon_entropy_phase_C_voltage,mean_phase_A_voltage,mean_phase_B_voltage,mean_phase_C_voltage,geometric_mean_phase_A_voltage,geometric_mean_phase_B_voltage,geometric_mean_phase_C_voltage,harmonic_mean_phase_A_voltage,harmonic_mean_phase_B_voltage,harmonic_mean_phase_C_voltage,variance_phase_A_voltage,variance_phase_B_voltage,variance_phase_C_voltage,stdev_phase_A_voltage,stdev_phase_B_voltage,stdev_phase_C_voltage,median_phase_A_voltage,median_phase_B_voltage,median_phase_C_voltage,covariance_phase_A_B_voltage,covariance_phase_A_C_voltage,covariance_phase_B_C_voltage,correlation_phase_A_B_voltage,correlation_phase_A_C_voltage,correlation_phase_B_C_voltage,max_phase_A_voltage,max_phase_B_voltage,max_phase_C_voltage,min_phase_A_voltage,min_phase_B_voltage,min_phase_C_voltage
-170.4721962,9.219613499,161.2525827,0.054490004,-0.659920931,0.605430928,2498345609.678567,2504881653.3887568,20522611.98023368,322458.61351245746,322438.48493607214,2807.038742020468,2734.9728839029335,2738.548095036605,247.88091102100586,-1.1453963646723617,-1.1440801914487295,-1.4925230046420388,0.05410608595094238,-0.05879179388506602,0.014354492704773661,2801.2048192771085,2801.2048192771085,572.289156626506,2634.730538922156,2634.730538922156,59.88023952095809,72.16239603630001,72.05821736061,7.4233483960000015,8287.341400000001,8244.7969,711.68536,-0.22357381135623142,-0.6823509214732163,0.9059246068615493,6.584996759430307,7.900868834240327,7.375040794297169,1672.1483270958083,-1678.9712902691617,6.822977205688622,1467.4538415711938,1444.3117571259772,175.12342131185844,578.8447144713152,316.8266929657343,82.75337136231757,4698062.703874643,4694757.234665753,61582.772589305096,2167.5014887825664,2166.738847823095,248.1587648851136,1557.1545,-1605.1985,4.1365671,-4665618.583954045,-32444.077758787047,-29138.693852010438,-0.9934436949470651,-0.06031792740011255,-0.05419183932571775,5914.7334,2348.6846,362.7225,-2372.608,-5896.1123,-348.96286,10498000947323.152,10601005290703.158,30211508187408.152,41852461.453099,41896454.853050545,3399714.795626722,177288.29786776047,178155.93394134377,300755.0786396953,-0.820219543190821,-0.8231866127929464,-1.4899473312975964,-0.0504723821647504,-0.052374031942837004,-0.006705965623071473,3283.132530120482,3222.89156626506,60.24096385542169,2634.730538922156,2634.730538922156,59.88023952095809,4664.149671450001,4720.544633824999,8998.177898200001,731230.19,733379.31,868449.35,398.66282420533673,426.0985946825428,-824.761418752475,7.384247434023763,7.375587794812879,7.3760123293356585,-1472.4872233532926,-1732.6037842814371,3205.091728443112,101767.41393121786,104028.95101484183,213123.4435977523,29769.19211478958,34915.08286013019,104293.6737349022,31523353640.54982,31831839792.19661,90714946350.3611,177548.17273221884,178414.79701021608,301189.2201762226,-585.72685,1179.796975,6431.82065,13679876305.974321,-45203229954.72895,-45511716242.79906,0.431852157127684,-0.8453057768197291,-0.8469405347909926,357812.44,354088.47,436982.6,-373417.75,-379290.84,-431466.75
-122.2357545,6.168667358,116.0670871,1.02E-01,-0.628611547,0.526201589,2304220199.887436,2311117943.4730096,20512363.89140854,172435.49165231275,172407.59574293403,2808.4935576125454,2626.5686501430864,2630.497063449681,247.81901288627904,-1.295532333121032,-1.2963641732894635,-1.4923601061227483,0.058577182564153056,-0.06531223596916928,0.013838504371847683,2710.843373493976,2680.7228915662654,481.9277108433735,59.88023952095809,59.88023952095809,59.88023952095809,70.1079516297,70.1739163536,7.42157253145,7588.7387,7570.2923,711.2457899999999,-0.25845673098465904,-0.6471866800498267,0.9056433697863328,6.5849957105842245,7.888745078001782,7.375040792512599,1638.081660994012,-1644.6983551976048,6.616705940419162,1421.3179988443912,1368.9354124488175,174.9844964232486,584.6875070580185,468.33434323573306,81.40109808551492,4228210.659180414,4227138.2236938365,61554.77809322183,2056.2613304685797,2056.000540781504,248.102354066264,1657.09685,-1554.46025,3.81341145,-4196897.052958563,-31313.555243768536,-30241.22228139665,-0.9927200272521387,-0.06137947726949021,-0.05928505550718318,5600.811,1990.1736,361.99112,-1987.9277,-5580.1187,-349.25467,10314341823187.113,10514822763601.223,30237930395069.086,33516311.239393152,33508010.985439207,3401148.730732587,175730.65453606547,177430.28287257827,300886.566223452,-0.7868481492291934,-0.7947097347273067,-1.490230912583878,-0.08611319792683185,-0.09190126457320838,-0.006652010980313637,3463.8554216867474,3403.6144578313256,60.24096385542169,2125.748502994012,2125.748502994012,59.88023952095809,4701.349728330001,4793.14268866,9002.523357000002,737544.4,734089.16,868585.4199999999,385.37494935397444,439.7332023864493,-825.108146076061,7.401413118299396,7.3755855861933135,7.3760126520698055,-1373.553730239521,-1802.9225227544914,3176.4776844311396,103330.84459151923,103550.13891281483,213222.20036087264,33777.03763782456,39986.505732361555,104065.77642779898,30972107153.56535,31572784044.165497,90794475470.17677,175988.94042969105,177687.3210000238,301321.21642887476,-2228.09705,3562.95755,6303.43,14124792022.939306,-45096899178.485016,-45697576178.408035,0.45168976078521816,-0.8504163330911578,-0.8535068558329023,352353.28,352906.28,437013.2,-385191.12,-381182.88,-431572.22
-90.16147364,3.813632243,86.3478414,0.141025528,-0.605276859,0.464251331,1618615803.254635,1627884742.3811004,20396538.30017335,21067.72135374926,21131.146783309905,2811.9177249131862,2201.3984418012046,2207.692554300683,247.11835209194558,-1.4243234276574215,-1.4302537811656362,-1.4912948105860084,0.061792103840097305,-0.07523506489439989,0.009346116473600775,2680.7228915662654,2650.6024096385545,240.96385542168676,59.88023952095809,59.88023952095809,59.88023952095809,59.08766641750001,59.02573412000001,7.400383225500001,5469.3816,5471.9977,707.65558,-0.4916744788829747,-0.41154033645464194,0.9032148378397379,6.672451850789624,7.851750562283609,7.375040780196082,1386.471349224551,-1391.514299754491,5.042948094011976,1150.4240760755006,1126.8033974379866,174.64941596032799,454.1693203229004,445.2952571580096,85.67515847693468,2932632.6345734876,2946415.972601829,61225.35807046067,1712.4931049710792,1716.5127359276507,247.4375841913687,1293.13445,-1333.492,3.47146585,-2908911.6240333105,-23721.00972485262,-37504.348864722284,-0.9895885586278143,-0.05598074491113797,-0.08830167318038994,4224.066,1198.0397,358.27805,-1245.3156,-4273.958,-349.37753,8404088966215.92,9320389382223.38,30432542586901.977,7843729.140811079,7878877.6083667725,3411404.0313959336,158625.16513032385,167048.96716773362,301853.27059147856,-1.110330979257511,-1.2334479971892076,-1.4923103005773475,-0.08132504801759034,-0.07677083913822491,-0.006153849857003626,3825.3012048192772,3765.0602409638554,60.24096385542169,1017.9640718562873,59.88023952095809,59.88023952095809,4611.226363400001,4882.8797362000005,9034.40930345,719655.6,620089.23,869558.62,294.18310257576024,533.7033759275475,-827.8864843505241,7.384225777610715,7.358101002672527,7.376014973634383,-254.07409011976048,-2699.8555299401196,2953.929807485032,108472.45846866982,113320.02503100011,213907.59501473804,57048.77121998886,56423.21182314634,101963.70058986514,25237439655.552753,27981846194.542385,91380264872.86862,158862.95872717703,167277.75164241772,302291.6883952793,1263.9779999999998,8172.745849999999,5356.9974999999995,19080489513.85217,-44317929172.92524,-47062335702.408745,0.7180070079621705,-0.9228489151840817,-0.9306986598667785,317178.0,287655.7,437291.12,-402477.6,-332433.53,-432267.5
-79.90491555,2.398803491,77.50611206,0.156272457,-0.602235331,0.445962874,1566384509.8964415,1575859821.1182022,20370443.946198698,20454.057072559222,20677.24067793601,2811.0473078404743,2165.5885993710517,2172.1287201730493,246.96022581041552,-1.4232191049979235,-1.429304746394113,-1.4912266447107625,0.06131568577585565,-0.07510997852012712,0.00887496561393607,2710.843373493976,2680.7228915662654,210.84337349397592,59.88023952095809,59.88023952095809,59.88023952095809,58.119076100300006,58.086779761900004,7.39575341974,5354.084699999999,5361.0758000000005,707.0400999999999,-0.5103987900338874,-0.39232984493604073,0.9027285904368268,6.67245143975252,7.864187632991093,7.375040778663444,1363.3993169026946,-1368.2916896230538,4.892377554191618,1116.4689629639984,1093.448483639299,174.58996556618396,320.369963227666,219.2224208923146,86.2836964156078,2839417.534498428,2854467.338505821,61148.49710685391,1685.0571309301142,1689.5168950045515,247.28222157456833,1301.6581999999999,-1281.6435000000001,3.6125691,-2816368.187899982,-23049.338660238627,-38099.15849532681,-0.9892641276381274,-0.055316022581476124,-0.09119267402504033,4117.834,1173.7955,357.61282,-1236.2507,-4187.2803,-349.42728,8399150852743.619,9356736493070.219,30449144681927.973,7083848.663747031,7166006.884646127,3412230.56154085,158578.55542836603,167374.37413468256,301935.59551352623,-1.1449728973953606,-1.2580698406467679,-1.4924932351647864,-0.07911742517582587,-0.06654119551867191,-0.006097685160459753,3855.421686746988,3825.3012048192772,60.24096385542169,59.88023952095809,59.88023952095809,59.88023952095809,4610.497105850001,4904.9835401,9037.146256650001,698053.77,639355.88,869583.96,284.4165016070806,543.7267591435119,-828.1432676091141,7.358083230841602,7.33147850239267,7.376015163012865,-229.86654341317376,-2702.5935847305386,2932.45976736527,107403.04636686246,113148.58518836062,213958.12019731558,56111.906434402255,50693.71411598271,101646.4980414545,25222622236.161976,28090981840.94319,91430247774.63077,158816.3160262886,167603.64507057474,302374.35039141594,7695.7548,6317.89315,5213.7080000000005,19058321643.481945,-44280943938.73985,-47149303630.60999,0.7159885463376063,-0.9220974141240232,-0.9303510989770875,293870.8,305321.78,437310.4,-404182.97,-334034.1,-432273.56
-63.88525488,0.590667394,63.29458748,0.180451483,-0.591501424,0.411049941,1516598372.0049365,1526226053.1124475,20363677.181163345,19989.36589836233,20101.065012148967,2811.3738233205668,2130.895044022003,2137.648025558697,246.91920410688297,-1.4220524275242326,-1.428242171288525,-1.4911642901701225,0.0609804224095661,-0.07509273170085813,0.008396221057453964,2740.9638554216867,2710.843373493976,210.84337349397592,59.88023952095809,59.88023952095809,59.88023952095809,57.2012815938,57.17198537830001,7.394659203500002,5244.1638,5267.9868,706.7074299999999,-0.5276652957388163,-0.3749560412971553,0.9026213051500711,6.672451052488811,7.8517505243282,7.375040777453173,1341.1678701137726,-1345.9137749311378,4.745900078742515,1114.6346018372803,1092.290126631064,174.60458782904306,471.5989059889228,404.1369818532858,86.7002710382229,2750216.6142919366,2766337.63964851,61129.59252131888,1658.3777055580363,1663.2310842599443,247.2439939034291,1263.80035,-1262.15375,3.7253484500000003,-2727712.3306514677,-22504.285693632846,-38625.30688577949,-0.9889231039052172,-0.05488529862289789,-0.09392768089636554,4016.0117,1180.5903,357.13147,-1228.1521,-4087.3965,-349.57596,8409135452199.547,9408467163847.682,30466872335698.047,6453384.205193933,6529039.857082235,3413187.412896017,158672.78358967058,167836.41846992992,302023.47697787086,-1.164393326065034,-1.28623605281295,-1.4926719691265862,-0.072325477561862,-0.06098349749310248,-0.00604131416515688,3855.421686746988,3825.3012048192772,60.24096385542169,59.88023952095809,59.88023952095809,59.88023952095809,4619.90914791,4935.48631905,9040.0467625,703487.3300000001,636039.48,869764.15,275.3505274874857,553.0705135678462,-828.4210354394878,7.349263943381985,7.392858999668957,7.37601537375619,-185.14101526946084,-2726.7484221556883,2911.8887230538926,106598.03584558806,116673.44291896997,214012.9870846839,49449.335031614944,68383.48206190258,101247.31793974248,25252624635.484177,28246197661.933353,91483604557.52429,158910.74424180444,168066.05148551968,302462.5672005121,8829.77525,-5640.0743,5160.30795,18992391380.834126,-44245015910.1187,-47238588898.186295,0.7111257302169501,-0.9205332075894498,-0.9292772069781331,297843.53,301564.88,437339.75,-405643.8,-334474.6,-432424.4
-55.95468067,-1.001881742,56.95656241,0.193414077,-0.590695397,0.39728132,1469169343.5266027,1478979511.478018,20337193.034841448,19529.739100977633,19653.197638762387,2810.2550513819683,2097.310327386265,2104.3009218490265,246.7585854747779,-1.4207448166868932,-1.4270472169661197,-1.4911189910154472,0.060655138935119264,-0.07506380486530774,0.007925964996434854,2740.9638554216867,2710.843373493976,180.72289156626508,59.88023952095809,59.88023952095809,59.88023952095809,56.3129637648,56.2857501037,7.3899868492,5178.8643,5196.3867,705.96907,-0.5431858311117973,-0.3589563006211873,0.9021420693953117,6.672450674460915,7.85798245324117,7.375040775934872,1319.6989399041915,-1324.3020631017964,4.603122243113773,1098.189237694285,1072.5242675643317,174.5407370674821,449.83888930675045,326.7790793118181,87.11245176554607,2665084.6126242126,2682337.3655552613,61051.39939206254,1632.5086868449469,1637.7842854158973,247.0858138219646,1244.02595,-1243.0778500000001,3.8618487999999997,-2643185.287652698,-21899.324836537504,-39152.07629652974,-0.9885881666350115,-0.05429094650086741,-0.096749847033842,3963.0955,1164.5835,356.563,-1215.7688,-4031.8032,-349.40607,8427002585069.238,9474651407110.135,30482218246703.973,5934960.899862589,6013360.090424702,3414015.263432266,158841.26246628718,168425.70997851517,302099.53076285584,-1.1718873117955138,-1.3175300195216773,-1.4928400103966386,-0.06577843586064289,-0.05570545449774261,-0.00598520532217015,3855.421686746988,3795.1807228915663,60.24096385542169,59.88023952095809,59.88023952095809,59.88023952095809,4647.20459725,4976.4537608,9042.5725967,720882.74,618774.1599999999,869787.23,267.39362030438514,561.2699063501071,-828.6635291109915,7.35808760371318,7.384253217759525,7.376015545778914,-97.18478173652645,-2794.5390131736526,2891.725219461077,109781.41535668894,120747.60587424898,214031.6286632589,55383.053349362395,75378.13420766572,100508.79798322856,25306304596.03217,28444573727.86556,91529805746.96458,159079.55429920016,168655.19182007283,302538.9326135805,5380.48145,-5079.9987,5026.44625,18889463639.063038,-44195768281.99688,-47334037392.49725,0.7040533122738163,-0.9183009889903302,-0.9276679753793515,314011.9,288013.94,437352.2,-406870.84,-330760.22,-432435.03
-45.24844608,-2.586980211,47.83542629,0.212393207,-0.584135795,0.371742588,1423879774.343366,1433847244.1235154,20316140.900925156,19196.814914015824,19336.579263836145,2809.5962931601507,2064.7307564998455,2071.944936702973,246.63083579399913,-1.4192932674717718,-1.4257395819914107,-1.4910709695102093,0.06024735441112822,-0.07495622171302012,0.007460651277516254,2740.9638554216867,2740.9638554216867,180.72289156626508,59.88023952095809,59.88023952095809,59.88023952095809,55.4480999357,55.430888243700004,7.3863218368000005,5095.3814999999995,5126.9973,705.36618,-0.5582131295305318,-0.3435460965619558,0.9017592098106816,6.672450307451096,7.8579824357330565,7.375040774452621,1298.9169726167665,-1303.3797495820359,4.462782156586827,1085.0223299194524,1058.8654598638066,174.49210183364173,474.8224588489065,349.82135408015677,87.3129471647097,2583663.313988677,2601947.310517289,60989.45590125041,1607.3777757542491,1613.0552719969917,246.9604338780818,1217.5212999999999,-1228.1023500000001,3.90966265,-2562310.5841435115,-21352.721457585154,-39636.73460250835,-0.9882448557008544,-0.05379078670740186,-0.09949957835527831,3890.4253,1157.0663,356.13614,-1204.9562,-3969.931,-349.23004,8460830159702.861,9547140766462.299,30497544288460.84,5458376.331882386,5517279.833704032,3414545.584124281,159159.75253014706,169068.78420277138,302175.4669719284,-1.1832897252523564,-1.3396647521000096,-1.4930026474029072,-0.06165179532520545,-0.04988217456109103,-0.005928565046274472,3825.3012048192772,3765.0602409638554,60.24096385542169,59.88023952095809,59.88023952095809,59.88023952095809,4663.1786968900005,4990.829442400001,9045.050249700002,723641.8200000001,606509.62,869785.25,259.12373455288696,569.782497103893,-828.9062394801358,7.331464881912714,7.401422441131201,7.376015719281189,-43.609166766466885,-2828.712979700599,2872.3217020958086,110481.89510974841,115268.66286603695,214077.25354523203,48232.74484643716,37811.99469987841,100315.57173159222,25407896470.015644,28662066745.77689,91575942075.0332,159398.54600972883,169298.74998291302,302615.1715876671,11279.5045,-5505.9563,4989.7184,18752989014.89209,-44160885674.06149,-47415055986.24341,0.6949161296125721,-0.9155092186199693,-0.9254901877685098,315708.94,273760.06,437366.28,-407932.88,-332749.56,-432418.97
-47.84541956,-3.428093604,51.27351316,0.216396222,-0.59012288,0.373726657,1380666029.2336464,1390747976.834061,20308331.676214185,18878.912403510425,18998.65869221866,2809.8238513556653,2033.1577967408346,2040.5675921923232,246.5834306115037,-1.4177509707076714,-1.4243638981654392,-1.491019431365578,0.059783762068212384,-0.07479973725419692,0.007001270702214468,2771.0843373493976,2740.9638554216867,180.72289156626508,59.88023952095809,59.88023952095809,59.88023952095809,54.608108155800004,54.6052024607,7.385021050010001,5009.0962,5036.6594000000005,704.99843,-0.5732465256555859,-0.3283763166652602,0.9016228430176354,6.672449949925941,7.857982418391577,7.375040773485649,1278.7939404191616,-1283.1189816227545,4.325036044910179,1068.4585292388138,1045.7500620519097,174.4716605341843,457.9744777907786,383.5421822682321,87.29202183198662,2505919.4372012704,2525081.902762333,60967.21889887806,1583.009613742529,1589.0506293892379,246.9154083869171,1198.91325,-1201.4886000000001,3.8919359499999997,-2485017.060175283,-20902.383826512345,-40064.835429442915,-0.9878888587762037,-0.053476635256565666,-0.10211215370380565,3816.8267,1138.2504,355.88013,-1192.2695,-3898.409,-349.1183,8516600486386.365,9620579613024.264,30513507736554.562,5055972.543998102,5108655.037362048,3415581.4111369187,159683.44889642188,169717.7968803418,302254.54106510076,-1.2072071901895238,-1.3464600879992132,-1.4931597981582185,-0.05985468997401557,-0.04479882486638251,-0.005871563130937445,3795.1807228915663,3734.9397590361446,60.24096385542169,59.88023952095809,59.88023952095809,59.88023952095809,4679.158362260001,5000.851696670001,9047.662941500002,714599.56,621859.72,869923.4199999999,249.52975209748317,579.6301882263917,-829.1599496365237,7.401402346475462,7.375593345477668,7.376015907999755,-81.0412377245508,-2772.6979414071866,2853.7391188622764,109417.90273480312,113700.56890363536,214105.46010240354,52588.47724764185,38401.002734979345,99445.16197452457,25575370248.590103,28882918528.01878,91623987082.13333,159923.01350521788,169949.7529507436,302694.544189573,-4064.2275,798.468685,4936.3949,18582849132.898945,-44158219403.28139,-47465767658.98861,0.6837239589235058,-0.9122124493070114,-0.9226890745716265,305729.53,290695.06,437387.62,-408870.03,-331164.66,-432535.8
-43.29425856,-4.511299677,47.80555823,0.229748367,-0.587587955,0.357839588,1339329334.4394217,1349563804.442938,20277683.11692812,18654.0377407114,18736.416706092023,2808.4753735804475,2002.490466190513,2010.1269096609115,246.39729320466813,-1.416314686499855,-1.423047165047213,-1.490986904450479,0.059418559743355887,-0.07470385829249085,0.00655324678695521,2771.0843373493976,2740.9638554216867,150.60240963855424,59.88023952095809,59.88023952095809,59.88023952095809,53.79094859000001,53.807728439,7.37955187687,4947.0069,4972.2409,704.21835,-0.5861545260603013,-0.31489578900835224,0.9010503318430342,6.658235982574937,7.85798240200949,7.375040771942861,1259.336620018952,-1263.5269240958085,4.1903106778443115,1033.6392978636566,1029.57746423484,174.36574347675221,40.34555838863646,282.83188899042125,87.4068538872344,2431318.74209456,2451449.57441238,60876.33186166202,1559.268656163703,1565.710565338428,246.73129485669634,1186.5943,-1192.2237,3.9217777500000004,-2410945.9906252585,-20372.741981474,-40503.591577565734,-0.9875408067405204,-0.052954673909650654,-0.10484743613899257,3763.3857,1132.6979,355.42102,-1183.6212,-3839.543,-348.79733,8562899998504.439,9709401675452.842,30526795266221.895,4686867.7004672475,4808483.282574974,3416318.870902011,160116.91086585095,170499.45717381442,302320.34436575853,-1.2273472876091776,-1.3594008480572066,-1.4933036521346543,-0.058133649202354566,-0.038370791367696375,-0.005815138342540894,3855.421686746988,3795.1807228915663,60.24096385542169,59.88023952095809,59.88023952095809,59.88023952095809,4704.254440930001,5025.22750506,9049.8450518,698523.32,628559.12,870064.96,242.44666248050575,586.9347898282983,-829.3814396422807,7.3492730280777,7.4183920861216865,7.376016052367241,4.64031155688578,-2839.7126574850304,2835.0724479041914,108965.23686159166,114895.44907323242,214143.51368520557,29336.23766904639,49132.05371347606,99267.2754277633,25714414388.326073,29149274204.650124,91663996083.69295,160357.14635876403,170731.58525782547,302760.6250549978,6663.1079,-9301.6845,4773.3961500000005,18400154046.66822,-44114568285.46052,-47549428099.54221,0.6720773619414299,-0.90864516743696,-0.9198818116177186,288854.16,299103.56,437391.66,-409669.16,-329455.56,-432673.3
-43.47472218,-5.38823325,48.86295543,0.235732767,-0.591319681,0.355586914,1299789465.5113664,1310118525.292308,20268581.240064416,18383.893259657965,18511.31523529646,2808.58024727947,1972.7101221623852,1980.5328966637717,246.34198783449963,-1.4146528217829817,-1.4215845745569418,-1.4909549767819024,0.05888022329119219,-0.07447448186953444,0.006101476307761682,2771.0843373493976,2771.0843373493976,150.60240963855424,59.88023952095809,59.88023952095809,59.88023952095809,52.9898337083,53.034436991700005,7.37799548164,4892.2638,4924.6051,703.7937400000001,-0.5997038093836536,-0.30118779540089047,0.9008915697586514,6.6724492622366975,7.864187530051948,7.375040771030472,1240.4609138547905,-1244.5191930988024,4.058281185628743,1025.0916957118682,1022.7344867507219,174.32881493547313,328.05589942039376,371.4721040728456,87.28985433523847,2359907.538713746,2380810.708550198,60850.09122594522,1536.199055693547,1542.9875918328696,246.67811257982584,1154.5495999999998,-1180.9682,3.8777522,-2339934.0776391034,-19973.45592508594,-40876.63568075224,-0.9871739690761873,-0.052707826164497366,-0.1073945132257741,3713.384,1129.2587,355.1005,-1178.8798,-3795.3464,-348.69324,8620473336539.88,9799987242576.305,30541571704276.63,4377975.334197646,4476455.524571989,3417051.0072044972,160654.28848556153,171292.96298853063,302393.50431173295,-1.241454794507221,-1.3724654579607525,-1.4934443747913162,-0.059679050958844175,-0.034635532099988924,-0.005758135308081597,3825.3012048192772,3734.9397590361446,60.24096385542169,59.88023952095809,59.88023952095809,59.88023952095809,4734.582653000001,5059.862404613,9052.237089100001,679038.48,628445.4099999999,870155.22,235.11563295232864,594.5123011441303,-829.6279441725665,7.384239998339294,7.375599012753413,7.376016221718221,63.02686497005914,-2880.276323742515,2817.2500835329342,112960.64675301005,115937.49520728445,214152.94504634006,47596.01535588964,41755.882640536074,98237.34568323623,25887303332.62178,29421070214.258656,91708470811.81248,160895.3179325669,171525.71298280224,302834.06481407024,351.25499999999994,2128.51905,4718.4818,18200048681.48354,-44087351963.14036,-47621118897.68958,0.6594773894694472,-0.9048276890805759,-0.9167810675877511,268644.2,300176.16,437410.0,-410394.28,-328269.25,-432745.22
